,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,sepal_area,petal_area
36,37,5.5,3.5,1.3,0.2,1,19.25,0.26
37,38,4.9,3.1,1.5,0.1,1,15.190000000000001,0.15000000000000002
38,39,4.4,3.0,1.3,0.2,1,13.200000000000001,0.26
39,40,5.1,3.4,1.5,0.2,1,17.34,0.30000000000000004
40,41,5.0,3.5,1.3,0.3,1,17.5,0.39
41,42,4.5,2.3,1.3,0.3,1,10.35,0.39
42,43,4.4,3.2,1.3,0.2,1,14.080000000000002,0.26
43,44,5.0,3.5,1.6,0.6,1,17.5,0.96
44,45,5.1,3.8,1.9,0.4,1,19.38,0.76
45,46,4.8,3.0,1.4,0.3,1,14.399999999999999,0.42
46,47,5.1,3.8,1.6,0.2,1,19.38,0.32000000000000006
47,48,4.6,3.2,1.4,0.2,1,14.719999999999999,0.27999999999999997
48,49,5.3,3.7,1.5,0.2,1,19.61,0.30000000000000004
49,50,5.0,3.3,1.4,0.2,1,16.5,0.27999999999999997
50,51,7.0,3.2,4.7,1.4,2,22.400000000000002,6.58
51,52,6.4,3.2,4.5,1.5,2,20.480000000000004,6.75
52,53,6.9,3.1,4.9,1.5,2,21.39,7.3500000000000005
53,54,5.5,2.3,4.0,1.3,2,12.649999999999999,5.2
54,55,6.5,2.8,4.6,1.5,2,18.2,6.8999999999999995
55,56,5.7,2.8,4.5,1.3,2,15.959999999999999,5.8500000000000005
56,57,6.3,3.3,4.7,1.6,2,20.79,7.5200000000000005
57,58,4.9,2.4,3.3,1.0,2,11.76,3.3
58,59,6.6,2.9,4.6,1.3,2,19.139999999999997,5.9799999999999995
59,60,5.2,2.7,3.9,1.4,2,14.040000000000001,5.46
60,61,5.0,2.0,3.5,1.0,2,10.0,3.5
61,62,5.9,3.0,4.2,1.5,2,17.700000000000003,6.300000000000001
62,63,6.0,2.2,4.0,1.0,2,13.200000000000001,4.0
63,64,6.1,2.9,4.7,1.4,2,17.689999999999998,6.58
64,65,5.6,2.9,3.6,1.3,2,16.24,4.680000000000001
65,66,6.7,3.1,4.4,1.4,2,20.77,6.16
66,67,5.6,3.0,4.5,1.5,2,16.799999999999997,6.75
67,68,5.8,2.7,4.1,1.0,2,15.66,4.1
68,69,6.2,2.2,4.5,1.5,2,13.640000000000002,6.75
69,70,5.6,2.5,3.9,1.1,2,14.0,4.29
70,71,5.9,3.2,4.8,1.8,2,18.880000000000003,8.64
71,72,6.1,2.8,4.0,1.3,2,17.08,5.2
72,73,6.3,2.5,4.9,1.5,2,15.75,7.3500000000000005
73,74,6.1,2.8,4.7,1.2,2,17.08,5.64
74,75,6.4,2.9,4.3,1.3,2,18.56,5.59
75,76,6.6,3.0,4.4,1.4,2,19.799999999999997,6.16
76,77,6.8,2.8,4.8,1.4,2,19.04,6.72
77,78,6.7,3.0,5.0,1.7,2,20.1,8.5
78,79,6.0,2.9,4.5,1.5,2,17.4,6.75
79,80,5.7,2.6,3.5,1.0,2,14.82,3.5
80,81,5.5,2.4,3.8,1.1,2,13.2,4.18
81,82,5.5,2.4,3.7,1.0,2,13.2,3.7
82,83,5.8,2.7,3.9,1.2,2,15.66,4.68
83,84,6.0,2.7,5.1,1.6,2,16.200000000000003,8.16
84,85,5.4,3.0,4.5,1.5,2,16.200000000000003,6.75
85,86,6.0,3.4,4.5,1.6,2,20.4,7.2
86,87,6.7,3.1,4.7,1.5,2,20.77,7.050000000000001
87,88,6.3,2.3,4.4,1.3,2,14.489999999999998,5.720000000000001
88,89,5.6,3.0,4.1,1.3,2,16.799999999999997,5.33
89,90,5.5,2.5,4.0,1.3,2,13.75,5.2
90,91,5.5,2.6,4.4,1.2,2,14.3,5.28
91,92,6.1,3.0,4.6,1.4,2,18.299999999999997,6.4399999999999995
92,93,5.8,2.6,4.0,1.2,2,15.08,4.8
93,94,5.0,2.3,3.3,1.0,2,11.5,3.3
94,95,5.6,2.7,4.2,1.3,2,15.12,5.460000000000001
95,96,5.7,3.0,4.2,1.2,2,17.1,5.04
96,97,5.7,2.9,4.2,1.3,2,16.53,5.460000000000001
97,98,6.2,2.9,4.3,1.3,2,17.98,5.59
98,99,5.1,2.5,3.0,1.1,2,12.75,3.3000000000000003
99,100,5.7,2.8,4.1,1.3,2,15.959999999999999,5.33
100,101,6.3,3.3,6.0,2.5,3,20.79,15.0
101,102,5.8,2.7,5.1,1.9,3,15.66,9.69
102,103,7.1,3.0,5.9,2.1,3,21.299999999999997,12.39
103,104,6.3,2.9,5.6,1.8,3,18.27,10.08
104,105,6.5,3.0,5.8,2.2,3,19.5,12.76
105,106,7.6,3.0,6.6,2.1,3,22.799999999999997,13.86
106,107,4.9,2.5,4.5,1.7,3,12.25,7.6499999999999995
107,108,7.3,2.9,6.3,1.8,3,21.169999999999998,11.34
108,109,6.7,2.5,5.8,1.8,3,16.75,10.44
109,110,7.2,3.6,6.1,2.5,3,25.92,15.25
110,111,6.5,3.2,5.1,2.0,3,20.8,10.2
111,112,6.4,2.7,5.3,1.9,3,17.28,10.069999999999999
112,113,6.8,3.0,5.5,2.1,3,20.4,11.55
113,114,5.7,2.5,5.0,2.0,3,14.25,10.0
114,115,5.8,2.8,5.1,2.4,3,16.24,12.239999999999998
115,116,6.4,3.2,5.3,2.3,3,20.480000000000004,12.19
116,117,6.5,3.0,5.5,1.8,3,19.5,9.9
117,118,7.7,3.8,6.7,2.2,3,29.259999999999998,14.740000000000002
118,119,7.7,2.6,6.9,2.3,3,20.02,15.87
119,120,6.0,2.2,5.0,1.5,3,13.200000000000001,7.5
120,121,6.9,3.2,5.7,2.3,3,22.080000000000002,13.11
121,122,5.6,2.8,4.9,2.0,3,15.679999999999998,9.8
122,123,7.7,2.8,6.7,2.0,3,21.56,13.4
123,124,6.3,2.7,4.9,1.8,3,17.01,8.82
124,125,6.7,3.3,5.7,2.1,3,22.11,11.97
125,126,7.2,3.2,6.0,1.8,3,23.040000000000003,10.8
126,127,6.2,2.8,4.8,1.8,3,17.36,8.64
127,128,6.1,3.0,4.9,1.8,3,18.299999999999997,8.82
128,129,6.4,2.8,5.6,2.1,3,17.919999999999998,11.76
129,130,7.2,3.0,5.8,1.6,3,21.6,9.28
130,131,7.4,2.8,6.1,1.9,3,20.72,11.589999999999998
131,132,7.9,3.8,6.4,2.0,3,30.02,12.8
132,133,6.4,2.8,5.6,2.2,3,17.919999999999998,12.32
133,134,6.3,2.8,5.1,1.5,3,17.639999999999997,7.6499999999999995
134,135,6.1,2.6,5.6,1.4,3,15.86,7.839999999999999
135,136,7.7,3.0,6.1,2.3,3,23.1,14.029999999999998
136,137,6.3,3.4,5.6,2.4,3,21.419999999999998,13.44
137,138,6.4,3.1,5.5,1.8,3,19.840000000000003,9.9
138,139,6.0,3.0,4.8,1.8,3,18.0,8.64
139,140,6.9,3.1,5.4,2.1,3,21.39,11.340000000000002
140,141,6.7,3.1,5.6,2.4,3,20.77,13.44
141,142,6.9,3.1,5.1,2.3,3,21.39,11.729999999999999
142,143,5.8,2.7,5.1,1.9,3,15.66,9.69
143,144,6.8,3.2,5.9,2.3,3,21.76,13.57
144,145,6.7,3.3,5.7,2.5,3,22.11,14.25
145,146,6.7,3.0,5.2,2.3,3,20.1,11.959999999999999
146,147,6.3,2.5,5.0,1.9,3,15.75,9.5
147,148,6.5,3.0,5.2,2.0,3,19.5,10.4
148,149,6.2,3.4,5.4,2.3,3,21.08,12.42
149,150,5.9,3.0,5.1,1.8,3,17.700000000000003,9.18
